mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_regularization,param_learning_rate,param_max_iter,param_max_leaf_nodes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9459984779357911,0.03904075580445192,0.12171740531921386,0.008936228797211601,0.0,0.01,50,15,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 50, 'max_leaf_nodes': 15}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,73
1.1199111938476562,0.050143943349913914,0.14122586250305175,0.0038831605939921633,0.0,0.01,50,31,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 50, 'max_leaf_nodes': 31}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,73
1.288001537322998,0.04832985846657099,0.1537792682647705,0.005159443885273912,0.0,0.01,50,63,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 50, 'max_leaf_nodes': 63}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,73
1.7683480739593507,0.08770232781596159,0.2446291923522949,0.025894647839823603,0.0,0.01,100,15,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 100, 'max_leaf_nodes': 15}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,18
2.065452289581299,0.10426359743434392,0.2732362747192383,0.005787739422293816,0.0,0.01,100,31,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 100, 'max_leaf_nodes': 31}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,18
2.4859362602233888,0.09220720906454706,0.33065261840820315,0.04010159572643073,0.0,0.01,100,63,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 100, 'max_leaf_nodes': 63}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,18
3.3397761821746825,0.1286595068066747,0.5123633861541748,0.04926891315039254,0.0,0.01,200,15,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 200, 'max_leaf_nodes': 15}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,18
3.988425350189209,0.19622895626467976,0.5937635898590088,0.037232335436464266,0.0,0.01,200,31,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 200, 'max_leaf_nodes': 31}",0.9715789473684211,0.9728421052631578,0.9719473684210527,0.9728947368421053,0.9700526315789474,0.9718631578947369,0.0010381103651316962,14
4.826756620407105,0.1467622985972065,0.5764815807342529,0.028889206833703055,0.0,0.01,200,63,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 200, 'max_leaf_nodes': 63}",0.9715789473684211,0.9727368421052631,0.9722105263157895,0.9730526315789474,0.9697894736842105,0.9718736842105263,0.0011557875563209068,12
1.0057333946228026,0.11264920699786253,0.12829270362854003,0.00909017305793309,0.0,0.1,50,15,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 50, 'max_leaf_nodes': 15}",0.9714736842105263,0.973,0.972421052631579,0.9730526315789474,0.9699473684210527,0.971978947368421,0.001163907831592861,2
1.095909595489502,0.02985524562739009,0.1343080997467041,0.010583550003547557,0.0,0.1,50,31,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 50, 'max_leaf_nodes': 31}",0.9717368421052631,0.9727368421052631,0.9723157894736842,0.9732631578947368,0.9702631578947368,0.9720631578947367,0.0010299665164124276,1
1.2175922870635987,0.07413911083741734,0.13782005310058593,0.005875613035757187,0.0,0.1,50,63,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 50, 'max_leaf_nodes': 63}",0.9711052631578947,0.9726842105263158,0.9723684210526315,0.973421052631579,0.9702105263157895,0.9719578947368422,0.001150406407773829,3
1.4193173885345458,0.07165087992668885,0.19307761192321776,0.03244806265830335,0.0,0.1,100,15,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 15}",0.9713684210526315,0.9727368421052631,0.972421052631579,0.9731578947368421,0.9701052631578947,0.971957894736842,0.0010991812616595199,4
1.633372163772583,0.2680861132519309,0.2754825115203857,0.036338633337444394,0.0,0.1,100,31,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 31}",0.9711578947368421,0.9723684210526315,0.9722631578947368,0.9733157894736842,0.97,0.9718210526315788,0.001138887049672349,34
1.8574452877044678,0.16082691137675464,0.23701076507568358,0.04477553901658458,0.0,0.1,100,63,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 63}",0.9707368421052631,0.9725789473684211,0.9718947368421053,0.973,0.9702631578947368,0.9716947368421053,0.0010480954895068864,38
1.8373487949371339,0.1591272400815763,0.21661219596862794,0.01651047073845497,0.0,0.1,200,15,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 15}",0.9713684210526315,0.9727368421052631,0.972421052631579,0.9731578947368421,0.9701052631578947,0.971957894736842,0.0010991812616595199,4
