mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4150266170501709,0.006602611330263965,0.026282835006713866,0.001970918781381639,0.01,3,50,-1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'n_jobs': -1}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,45
0.7070564746856689,0.02169359042799743,0.03977670669555664,0.001989401932866675,0.01,3,100,-1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,10
1.4386737823486329,0.052127199327481756,0.06436614990234375,0.0038590784535545786,0.01,3,200,-1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,10
2.0713635444641114,0.01662860430248785,0.11137580871582031,0.0064564996813700195,0.01,3,300,-1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,10
0.6801063060760498,0.03380073619536573,0.04223799705505371,0.006651118785464247,0.01,5,50,-1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'n_jobs': -1}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,45
1.046914529800415,0.07430154779996268,0.0739211082458496,0.008930440838625016,0.01,5,100,-1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,10
2.03222393989563,0.10870029737101145,0.12266154289245605,0.010739987926279355,0.01,5,200,-1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,10
2.8711777687072755,0.16596200462817062,0.15777292251586914,0.00481678021423439,0.01,5,300,-1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,10
0.8517866611480713,0.06351802603790929,0.05665469169616699,0.01188926427450072,0.01,7,50,-1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'n_jobs': -1}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,45
1.4522679805755616,0.21029107414606657,0.09348874092102051,0.011549137391225463,0.01,7,100,-1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,10
2.4313820362091065,0.17644017195567724,0.1505887508392334,0.01774956524849236,0.01,7,200,-1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.9720526315789474,0.9728947368421053,0.97,0.9718421052631578,0.0010436458575111978,9
3.4214054107666017,0.3916735353457751,0.23581666946411134,0.028063228319482107,0.01,7,300,-1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'n_jobs': -1}",0.9714736842105263,0.9726842105263158,0.9720526315789474,0.9728947368421053,0.97,0.971821052631579,0.0010381103651317335,19
0.9189919471740723,0.04686552885576363,0.06621103286743164,0.008065164632243813,0.01,9,50,-1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 50, 'n_jobs': -1}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,45
1.6789970874786377,0.09317594675585841,0.11507272720336914,0.017500949708059398,0.01,9,100,-1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,10
2.9627007484436034,0.09225386199260355,0.24197063446044922,0.02968737247371064,0.01,9,200,-1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'n_jobs': -1}",0.9715789473684211,0.9727368421052631,0.9721578947368421,0.9731578947368421,0.9700526315789474,0.9719368421052632,0.0010824205971019032,4
4.035070466995239,0.1603093172719652,0.31682872772216797,0.03943533474999322,0.01,9,300,-1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'n_jobs': -1}",0.971421052631579,0.9726842105263158,0.9722105263157895,0.9733157894736842,0.9703157894736842,0.9719894736842105,0.0010406688665232078,3
0.46011924743652344,0.016833661844984762,0.03645787239074707,0.0036442217113951307,0.1,3,50,-1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,10
