mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03764462471008301,0.0033822079496755647,0.0034091949462890627,0.000483252885239989,0.1,200,l2,newton-cholesky,0.01,"{'C': 0.1, 'max_iter': 200, 'penalty': 'l2', 'solver': 'newton-cholesky', 'tol': 0.01}",0.929287598944591,0.9299379865417601,0.9302018735981,0.9298060430135902,0.9294102124290804,0.9297287429054244,0.00033754422435018573,1
0.041011810302734375,0.004820813493595269,0.003996562957763672,0.0008964471284126802,0.1,100,l2,newton-cholesky,0.01,"{'C': 0.1, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cholesky', 'tol': 0.01}",0.929287598944591,0.9299379865417601,0.9302018735981,0.9298060430135902,0.9294102124290804,0.9297287429054244,0.00033754422435018573,1
0.036548423767089847,0.004691683617481328,0.0036205768585205076,0.0004854070974571619,0.1,300,l2,newton-cholesky,0.01,"{'C': 0.1, 'max_iter': 300, 'penalty': 'l2', 'solver': 'newton-cholesky', 'tol': 0.01}",0.929287598944591,0.9299379865417601,0.9302018735981,0.9298060430135902,0.9294102124290804,0.9297287429054244,0.00033754422435018573,1
0.033888816833496094,0.0017008631844340006,0.003200864791870117,0.00040133048639203286,0.1,300,l2,lbfgs,0.0001,"{'C': 0.1, 'max_iter': 300, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001}",0.929419525065963,0.9294102124290804,0.9296740994854202,0.9300699300699301,0.9292782689009104,0.9295704071902607,0.000280730388962577,4
0.03392467498779297,0.004650797870702374,0.0027176380157470704,0.0004094755520307828,0.1,200,l2,lbfgs,0.0001,"{'C': 0.1, 'max_iter': 200, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001}",0.929419525065963,0.9294102124290804,0.9296740994854202,0.9300699300699301,0.9292782689009104,0.9295704071902607,0.000280730388962577,4
0.042417144775390624,0.0038226395259329787,0.004790306091308594,0.0007474443064513684,0.1,100,l2,lbfgs,0.0001,"{'C': 0.1, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001}",0.929419525065963,0.9294102124290804,0.9296740994854202,0.9300699300699301,0.9292782689009104,0.9295704071902607,0.000280730388962577,4
0.12182474136352539,0.026432867720744675,0.0032016277313232423,0.0004016658004039247,1.0,300,l2,saga,0.01,"{'C': 1, 'max_iter': 300, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.01}",0.9295514511873351,0.9292782689009104,0.9296740994854202,0.9299379865417601,0.9294102124290804,0.9295704037089013,0.0002268184927754463,1
0.11255035400390626,0.021919421888101046,0.0031996726989746093,0.0004011025270249136,1.0,100,l2,saga,0.01,"{'C': 1, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.01}",0.9295514511873351,0.9292782689009104,0.9296740994854202,0.9299379865417601,0.9294102124290804,0.9295704037089013,0.0002268184927754463,1
0.11042213439941406,0.020050869364642312,0.0038109779357910155,0.0008146391375330763,1.0,200,l2,saga,0.01,"{'C': 1, 'max_iter': 200, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.01}",0.9295514511873351,0.9292782689009104,0.9296740994854202,0.9299379865417601,0.9294102124290804,0.9295704037089013,0.0002268184927754463,1
0.12936773300170898,0.021744348239542258,0.0031080722808837892,0.0008169553690228956,10.0,100,l1,saga,0.01,"{'C': 10, 'max_iter': 100, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.01}",0.9295514511873351,0.9292782689009104,0.9296740994854202,0.9300699300699301,0.9292782689009104,0.9295704037089012,0.0002937087297252386,4
0.11812219619750977,0.026650487213937507,0.00299983024597168,1.162153015799898e-06,10.0,100,l2,saga,0.01,"{'C': 10, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.01}",0.9295514511873351,0.9292782689009104,0.9296740994854202,0.9300699300699301,0.9292782689009104,0.9295704037089012,0.0002937087297252386,4
0.04673943519592285,0.003216855080135971,0.003613853454589844,0.0005020695993790174,1.0,300,l2,liblinear,0.01,"{'C': 1, 'max_iter': 300, 'penalty': 'l2', 'solver': 'liblinear', 'tol': 0.01}",0.9295514511873351,0.9292782689009104,0.9296740994854202,0.9300699300699301,0.9292782689009104,0.9295704037089012,0.0002937087297252386,4
0.13075618743896483,0.02631874840051031,0.0030004024505615235,1.1444091796875e-06,10.0,200,l1,saga,0.01,"{'C': 10, 'max_iter': 200, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.01}",0.9295514511873351,0.9292782689009104,0.9296740994854202,0.9300699300699301,0.9292782689009104,0.9295704037089012,0.0002937087297252386,4
0.05197606086730957,0.006617520125855371,0.0036115169525146483,0.0007337569105863677,1.0,200,l2,liblinear,0.01,"{'C': 1, 'max_iter': 200, 'penalty': 'l2', 'solver': 'liblinear', 'tol': 0.01}",0.9295514511873351,0.9292782689009104,0.9296740994854202,0.9300699300699301,0.9292782689009104,0.9295704037089012,0.0002937087297252386,4
0.04780416488647461,0.004021012203008437,0.0032039642333984374,0.00039836269012470183,1.0,100,l2,liblinear,0.01,"{'C': 1, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear', 'tol': 0.01}",0.9295514511873351,0.9292782689009104,0.9296740994854202,0.9300699300699301,0.9292782689009104,0.9295704037089012,0.0002937087297252386,4
