mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_jobs,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.17582645416259765,0.0073633076606921775,1.566310167312622,0.06710485398612888,-1,3,1,,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': None}",0.9657894736842105,0.9667368421052631,0.9666315789473684,0.965421052631579,0.964842105263158,0.9658842105263158,0.0007204184687270714,13
0.18693189620971679,0.037573783166135535,1.662104320526123,0.026102068950104473,-1,3,1,uniform,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.9657894736842105,0.9667368421052631,0.9666315789473684,0.965421052631579,0.964842105263158,0.9658842105263158,0.0007204184687270714,13
0.21833434104919433,0.02360014389403002,0.46859540939331057,0.030993393395010567,-1,3,1,distance,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.9601578947368421,0.9598421052631579,0.9592105263157895,0.9598947368421052,0.9587894736842105,0.9595789473684212,0.0005026246899500304,23
0.2150090217590332,0.050982280459064125,1.5371927738189697,0.07454207594278187,-1,3,2,,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': None}",0.965421052631579,0.9668947368421053,0.9670526315789474,0.9653684210526315,0.9642105263157895,0.9657894736842106,0.001060496930505774,15
0.18069581985473632,0.0209477182378883,1.8594419002532958,0.14175689493022814,-1,3,2,uniform,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.965421052631579,0.9668947368421053,0.9670526315789474,0.9653684210526315,0.9642105263157895,0.9657894736842106,0.001060496930505774,15
0.3025689125061035,0.07458061891119078,0.2136918544769287,0.02653072870437861,-1,3,2,distance,"{'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.96,0.9598947368421052,0.9595263157894737,0.9597368421052631,0.9583157894736842,0.9594947368421053,0.0006107077770256759,24
0.3562572479248047,0.04274269920192439,1.8677396774291992,0.07962521048222454,-1,5,1,,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': None}",0.9684736842105263,0.9696315789473684,0.9691578947368421,0.9692105263157895,0.967421052631579,0.9687789473684211,0.0007738095136626999,11
0.3535196304321289,0.03718947769293482,1.697981882095337,0.031242625238311887,-1,5,1,uniform,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.9684736842105263,0.9696315789473684,0.9691578947368421,0.9692105263157895,0.967421052631579,0.9687789473684211,0.0007738095136626999,11
0.23003110885620118,0.08066191881333741,0.2515080451965332,0.06379611541379876,-1,5,1,distance,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.9618947368421052,0.9636315789473684,0.9620526315789474,0.9632631578947368,0.9615263157894737,0.9624736842105263,0.0008214573901105886,22
0.24430379867553711,0.057855250842463256,1.7754799842834472,0.0842948122697081,-1,5,2,,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': None}",0.9684736842105263,0.9698947368421053,0.9691052631578947,0.9695789473684211,0.967,0.9688105263157893,0.001024140745175198,9
0.2208099842071533,0.03553500601509734,1.6755690097808837,0.05197075009362107,-1,5,2,uniform,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.9684736842105263,0.9698947368421053,0.9691052631578947,0.9695789473684211,0.967,0.9688105263157893,0.001024140745175198,9
0.2989992618560791,0.018700020377120676,0.289302921295166,0.054497115971173814,-1,5,2,distance,"{'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.9620526315789474,0.9636315789473684,0.9619473684210527,0.963421052631579,0.9613157894736842,0.9624736842105264,0.0008981359582189962,21
0.24164023399353027,0.017549993632393818,1.731501293182373,0.044412480248340526,-1,7,1,,"{'n_jobs': -1, 'n_neighbors': 7, 'p': 1, 'weights': None}",0.9696315789473684,0.9704736842105263,0.9699473684210527,0.97,0.9684736842105263,0.9697052631578946,0.000672037461032108,7
0.1862276554107666,0.05601384575493882,1.8801911354064942,0.10983248975115516,-1,7,1,uniform,"{'n_jobs': -1, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.9696315789473684,0.9704736842105263,0.9699473684210527,0.97,0.9684736842105263,0.9697052631578946,0.000672037461032108,7
0.20276279449462892,0.06154416384851826,0.2051003932952881,0.05674025357884272,-1,7,1,distance,"{'n_jobs': -1, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.9631578947368421,0.9645263157894737,0.9634736842105264,0.9642631578947368,0.9630526315789474,0.9636947368421053,0.0005939678307227615,20
0.3302962303161621,0.030301940260630118,1.8748905658721924,0.05483865292216049,-1,7,2,,"{'n_jobs': -1, 'n_neighbors': 7, 'p': 2, 'weights': None}",0.9696315789473684,0.9707894736842105,0.9701052631578947,0.9703157894736842,0.9683684210526315,0.9698421052631578,0.0008254940600714962,3
0.2632033348083496,0.0210471127026156,1.7947290897369386,0.0917479881888961,-1,7,2,uniform,"{'n_jobs': -1, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.9696315789473684,0.9707894736842105,0.9701052631578947,0.9703157894736842,0.9683684210526315,0.9698421052631578,0.0008254940600714962,3
