mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_regularization,param_learning_rate,param_max_iter,param_max_leaf_nodes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6953755855560303,0.01022800412608368,0.10694098472595215,0.002811823840879274,0.0,0.01,50,15,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 50, 'max_leaf_nodes': 15}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,73
0.8202824592590332,0.06196454012162776,0.12278780937194825,0.006922083902924375,0.0,0.01,50,31,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 50, 'max_leaf_nodes': 31}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,73
1.0386219024658203,0.14605393352775028,0.1537950038909912,0.03222766554663538,0.0,0.01,50,63,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 50, 'max_leaf_nodes': 63}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,73
1.4069734573364259,0.07178871989433835,0.24908270835876464,0.03965588362289777,0.0,0.01,100,15,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 100, 'max_leaf_nodes': 15}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
1.529221773147583,0.0628444941144609,0.2353651523590088,0.007453714259519674,0.0,0.01,100,31,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 100, 'max_leaf_nodes': 31}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
2.0932571411132814,0.2807386324181646,0.282166051864624,0.03602275514739236,0.0,0.01,100,63,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 100, 'max_leaf_nodes': 63}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
2.9577916145324705,0.31197771093185767,0.5841718196868897,0.05995022104988263,0.0,0.01,200,15,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 200, 'max_leaf_nodes': 15}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
3.358622646331787,0.31855338791360455,0.5780782699584961,0.045181618911894615,0.0,0.01,200,31,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 200, 'max_leaf_nodes': 31}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
4.053886270523071,0.19678912576736377,0.6629559993743896,0.035854836186443674,0.0,0.01,200,63,"{'l2_regularization': 0, 'learning_rate': 0.01, 'max_iter': 200, 'max_leaf_nodes': 63}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
0.8409858703613281,0.09637224862121385,0.1269524574279785,0.016979529979031863,0.0,0.1,50,15,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 50, 'max_leaf_nodes': 15}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
0.8133905410766602,0.0545271024785483,0.1379837989807129,0.021201415406698555,0.0,0.1,50,31,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 50, 'max_leaf_nodes': 31}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
1.1680619716644287,0.06524771735377252,0.13232860565185547,0.02969735831288022,0.0,0.1,50,63,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 50, 'max_leaf_nodes': 63}",0.9715263157894737,0.9727368421052631,0.972,0.9728421052631578,0.97,0.9718210526315788,0.0010311492123164935,38
1.462922954559326,0.18638215842677175,0.22671914100646973,0.041572543347522556,0.0,0.1,100,15,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 15}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
1.257183027267456,0.09063453936145546,0.2082820415496826,0.025150029704206982,0.0,0.1,100,31,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 31}",0.9715263157894737,0.9726842105263158,0.972,0.9728947368421053,0.97,0.971821052631579,0.0010327597967504148,33
1.3514484882354736,0.05673108982743823,0.19951081275939941,0.007521603863746641,0.0,0.1,100,63,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 63}",0.9715263157894737,0.9726842105263158,0.972,0.9727894736842105,0.97,0.9718,0.0010115126765082453,45
1.3372140407562256,0.09618451068343047,0.23173866271972657,0.02045635817852026,0.0,0.1,200,15,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 15}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
1.370433235168457,0.08303262094219757,0.21653032302856445,0.027662251699306712,0.0,0.1,200,31,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 31}",0.9715263157894737,0.9726842105263158,0.972,0.9728947368421053,0.97,0.971821052631579,0.0010327597967504148,33
