mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3552523136138916,0.03798604678760436,0.031451082229614256,0.0037952515273404486,0.01,3,50,-1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'n_jobs': -1}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,45
0.6325160980224609,0.035565977962914136,0.04066109657287598,0.0018981435680011155,0.01,3,100,-1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
1.2053370952606202,0.0202123238517985,0.060529661178588864,0.0016332988226593539,0.01,3,200,-1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
1.9020121574401856,0.10845250778725506,0.08698873519897461,0.0024476100537733523,0.01,3,300,-1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
0.5162076473236084,0.030127543184902957,0.032209920883178714,0.0038243461215501937,0.01,5,50,-1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'n_jobs': -1}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,45
0.8313130378723145,0.03385212401521609,0.05401778221130371,0.006246226012057187,0.01,5,100,-1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
1.543562936782837,0.07496632195638833,0.08588743209838867,0.008991249267910964,0.01,5,200,-1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
2.1274858474731446,0.09224730767395121,0.11983866691589355,0.00379360996610467,0.01,5,300,-1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
0.5706637382507325,0.030423908345619817,0.0385221004486084,0.0058384868807785165,0.01,7,50,-1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'n_jobs': -1}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,45
0.9678188323974609,0.060114277903481714,0.061475181579589845,0.00601032752407081,0.01,7,100,-1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
1.765521764755249,0.06894410255371239,0.10845603942871093,0.008780130531633562,0.01,7,200,-1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
2.567413902282715,0.1613913956944206,0.16629605293273925,0.014521083876519384,0.01,7,300,-1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
0.5842443943023682,0.03542457880902727,0.04064717292785645,0.002542984378750774,0.01,9,50,-1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 50, 'n_jobs': -1}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,45
1.1050786972045898,0.08280048759772163,0.07424535751342773,0.0021546797492006204,0.01,9,100,-1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
1.9957399368286133,0.025348730261655465,0.13865108489990235,0.008153950621991764,0.01,9,200,-1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
3.070777654647827,0.16679582166466697,0.30361595153808596,0.040742738523606235,0.01,9,300,-1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
0.3819908142089844,0.02397477225726431,0.034085750579833984,0.014661839190618187,0.1,3,50,-1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'n_jobs': -1}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
