mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.248425912857056,0.26744435985035037,0.01815037727355957,0.0032424016946762764,friedman_mse,0.01,exponential,50,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'exponential', 'n_estimators': 50}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,31
8.048403978347778,0.3704427949382377,0.02834453582763672,0.0027864973352105613,friedman_mse,0.01,exponential,100,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'exponential', 'n_estimators': 100}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,31
15.818564414978027,0.7452644497744602,0.050347423553466795,0.007403566036296429,friedman_mse,0.01,exponential,200,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'exponential', 'n_estimators': 200}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
4.538048839569091,0.5104536766924975,0.019245481491088866,0.004015345237515957,friedman_mse,0.01,log_loss,50,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'log_loss', 'n_estimators': 50}",0.9149473684210526,0.9149473684210526,0.9149473684210526,0.9148947368421053,0.9148947368421053,0.9149263157894737,2.5784102555580936e-05,31
8.2461416721344,0.5067741252511424,0.026248884201049805,0.0010249727396712774,friedman_mse,0.01,log_loss,100,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'log_loss', 'n_estimators': 100}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
15.749711418151856,0.8381745222205926,0.04575934410095215,0.0014527764651979347,friedman_mse,0.01,log_loss,200,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'log_loss', 'n_estimators': 200}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
4.5678643703460695,0.6097585214371024,0.018300724029541016,0.0008633728910405131,friedman_mse,0.1,exponential,50,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'exponential', 'n_estimators': 50}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
8.962404203414916,0.675898740162586,0.030671215057373045,0.002787408782875742,friedman_mse,0.1,exponential,100,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'exponential', 'n_estimators': 100}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
16.663000917434694,0.42334641741227436,0.052237319946289065,0.00748815723392154,friedman_mse,0.1,exponential,200,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'exponential', 'n_estimators': 200}",0.9715263157894737,0.9728421052631578,0.9718947368421053,0.9727894736842105,0.97,0.9718105263157895,0.0010381103651317173,15
4.447733068466187,0.26841449340571083,0.025449466705322266,0.014147483514280735,friedman_mse,0.1,log_loss,50,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 50}",0.9715263157894737,0.9727368421052631,0.972,0.9728947368421053,0.97,0.9718315789473684,0.0010417330542095173,1
8.466760730743408,0.3990612569164259,0.028104305267333984,0.0006671329144053022,friedman_mse,0.1,log_loss,100,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 100}",0.9715789473684211,0.9728421052631578,0.9719473684210527,0.9727368421052631,0.9700526315789474,0.9718315789473684,0.0010082210547746001,1
15.989732837677002,0.3846008550981311,0.044972801208496095,0.004814439515732112,friedman_mse,0.1,log_loss,200,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'log_loss', 'n_estimators': 200}",0.9715789473684211,0.9727368421052631,0.9718421052631578,0.9725789473684211,0.9696842105263158,0.9716842105263158,0.0010903759294802885,17
3.986071538925171,0.08415160677911943,0.016394567489624024,0.001196258680091012,friedman_mse,1.0,exponential,50,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 50}",0.9712105263157895,0.9726315789473684,0.9715789473684211,0.9718421052631578,0.9694736842105263,0.9713473684210527,0.001046614380777314,19
8.434607076644898,0.39238328287402374,0.023753261566162108,0.0008317244703855522,friedman_mse,1.0,exponential,100,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 100}",0.9708421052631578,0.9722105263157895,0.9715789473684211,0.9716315789473684,0.969,0.9710526315789474,0.0011144977627424609,21
16.25325789451599,0.4207781147930013,0.04826698303222656,0.010569948953858009,friedman_mse,1.0,exponential,200,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'n_estimators': 200}",0.9697894736842105,0.971421052631579,0.9701052631578947,0.9703684210526315,0.9679473684210527,0.9699263157894737,0.0011310770000558642,25
4.09339714050293,0.11578141685676026,0.015204048156738282,0.0004906644302150256,friedman_mse,1.0,log_loss,50,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'log_loss', 'n_estimators': 50}",0.9706315789473684,0.9713684210526315,0.9706842105263158,0.9710526315789474,0.9687894736842105,0.9705052631578948,0.0008985059929630806,23
