mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.16679806709289552,0.01605494733325313,0.015599393844604492,0.001495558273534598,0.01,3,50,-1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'n_jobs': -1}",0.8326113861386139,0.8397277227722773,0.8354978354978355,0.8407544836116265,0.8236386138613861,0.834446008376348,0.006147606396069963,46
0.363856840133667,0.008234048446646075,0.030214500427246094,0.0015162836399420909,0.01,3,100,-1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': -1}",0.8326113861386139,0.8397277227722773,0.8354978354978355,0.8407544836116265,0.8236386138613861,0.834446008376348,0.006147606396069963,46
0.8646931648254395,0.051789159670799584,0.05329928398132324,0.00892385422857686,0.01,3,200,-1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'n_jobs': -1}",0.8511757425742574,0.857322225946052,0.8525046382189239,0.8648732220160791,0.8422029702970297,0.8536157598104683,0.007455312016371142,44
1.2736546039581298,0.03645267797237336,0.0629575252532959,0.007150990476641226,0.01,3,300,-1,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': -1}",0.9249515008957803,0.9295093191245181,0.9324840438264822,0.9315325033774638,0.9153002783622799,0.9267555291173049,0.006288020530244271,41
0.33327546119689944,0.030679081036802128,0.034514665603637695,0.006656092773371708,0.01,5,50,-1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'n_jobs': -1}",0.8326113861386139,0.8397277227722773,0.8354978354978355,0.8407544836116265,0.8236386138613861,0.834446008376348,0.006147606396069963,46
0.5500958919525146,0.035967803368237725,0.04500470161437988,0.00396176894793727,0.01,5,100,-1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'n_jobs': -1}",0.864480198019802,0.8637781152584407,0.8731387382643688,0.9068014902042216,0.8592202970297029,0.8734837677553072,0.01725630452932909,42
1.0387074947357178,0.0329912160793846,0.06606454849243164,0.004468246490735499,0.01,5,200,-1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'n_jobs': -1}",0.927510019300706,0.9332875034318321,0.9349161216785182,0.9374492195885076,0.9160023680582582,0.9298330464115644,0.007648021182057219,40
1.4675355434417725,0.042632477794688886,0.0915024757385254,0.009839760620144482,0.01,5,300,-1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'n_jobs': -1}",0.9495317146628477,0.9557614689148155,0.9524696635967693,0.9557461074188018,0.9410347721980725,0.9509087453582614,0.005454851471353546,34
0.363784122467041,0.004539639239594493,0.04918093681335449,0.011246284890750965,0.01,7,50,-1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'n_jobs': -1}",0.8477722772277227,0.8576732673267327,0.8908056090827101,0.8407544836116265,0.8409653465346535,0.8555941967566891,0.018652446823901714,43
0.6444811344146728,0.020214934668362234,0.05622115135192871,0.0037451135178686954,0.01,7,100,-1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'n_jobs': -1}",0.9242314602744311,0.9333707743120052,0.93031954166198,0.9391202092853372,0.9221904868701394,0.9298464944807787,0.0061447403511188485,39
1.2396966457366942,0.040296890573075284,0.09001731872558594,0.004135047280605751,0.01,7,200,-1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'n_jobs': -1}",0.9389759969626741,0.9466695100374389,0.9454471601492636,0.9491754775315735,0.931389387273171,0.9423315063908243,0.006424249828007083,37
1.7186395168304442,0.08159159766326966,0.1455601692199707,0.021670728168286982,0.01,7,300,-1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'n_jobs': -1}",0.9488533094815852,0.9548985641132187,0.9548839992056419,0.9575003749304216,0.9435753639487866,0.9519423223359308,0.005056338002175428,33
0.4406397819519043,0.05124804874782489,0.04607129096984863,0.00503575164615582,0.01,9,50,-1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 50, 'n_jobs': -1}",0.8326113861386139,0.8397277227722773,0.8908056090827101,0.8407544836116265,0.8239480198019802,0.8455694442814415,0.023405202112880726,45
0.7413228511810303,0.03196290892378461,0.07173213958740235,0.005126919004331736,0.01,9,100,-1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'n_jobs': -1}",0.9352688453956562,0.9411891937070299,0.9406069011094232,0.9471181498460931,0.9278430716156225,0.9384052323347649,0.006479334533169045,38
1.4085451126098634,0.013570199297154417,0.11463365554809571,0.010139249881375984,0.01,9,200,-1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'n_jobs': -1}",0.9490614866820182,0.9534764407305082,0.954372744494806,0.9559365597126137,0.9393506639138265,0.9504395791067545,0.0059962036849969,35
2.142225742340088,0.06588027839272545,0.20049843788146973,0.015440942736333346,0.01,9,300,-1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'n_jobs': -1}",0.9549165219732065,0.9601584651033177,0.9592130035346462,0.9617877403520309,0.9462171671031194,0.9564585796132642,0.0056025071160331775,30
